INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
419,migrants say they are poor but they have the Iphone,"Sorry, which migrants are you talking about? Not all are economic migrants, they also escape from war or persecution. If one day the situation in our country were to change and you were to feel threatened, would you leave your smartphone at home just to look like a real poor person in the country you will flee to?",MIGRANTS,V1
425,We should eliminate gays.,Do you really want to kill other human beings? Based on what exactly? On private sexual preferences?,LGBT+,V1
428,Two men do not constitute a family,"A man and a woman do not automatically constitute a family either, so what?",LGBT+,V1
431,Gypsies suck,"When you do not have access to basic services like tap water, it's hard to look like a normal person",other,V1
432,Gypsies make their children live in degradation,It is not a choice!,other,V1
433,"Fagshit, two men cannot replace a man and a woman","Love is love, children need only this.",LGBT+,V1
434,"Fagshit, two men cannot replace a father and a mother",A family is based on love not on gender.,LGBT+,V1
438,It is not a coincidence that tuberculosis reappears with the migrants invasion.,"The trend in Italy remains particularly low, less than 7 cases per 100,000 inhabitants. In the '50s it was around 25 instead. And back then there was no 'invasion'.",MIGRANTS,V1
439,It is no coincidence that tuberculosis appears again after the migrants invasion.,"From what i know, it was already here and cases have simply grown. Isn't it another disease of poverty?",MIGRANTS,V1
440,It is not a coincidence that tuberculosis appears again with migrants invasion.,Researchers rule out that it is caused by immigration.,MIGRANTS,V1
442,Children are not for rent,Surrogate pregnancy is an assisted procreation technique that has nothing to do with 'renting children',LGBT+,V1
443,Children cannot be bought.,"Imagine a person who cannot have children because of an illness, would you really want to deprive her of the joy of having one via surrogate pregnancy?",LGBT+,V1
444,Gypsies are a bunch of thieves.,"Unfortunately stealing is a rather common activity among those who are reduced to poverty, regardless of ethnicity.",other,V1
445,The Gypsies steal the children,There are no convictions of kidnapping among Gypsies. It is a myth and a canard not proven by facts or data.,other,V1
446,Gypsies are thieves and criminals by culture,"If so, Gypsies would do it in every context and under any circumstance, luckly it is not like that.",other,V1
447,We are forced to economically support all of the so called 'asylum seeker',It is the law that requires asylum seekers not to work while their application is considered.,MIGRANTS,V1
449,We are forced to economically support all of the so called 'asylum seekers',Integration (as opposed to ghettoization) is precisely aimed at encouraging productive integration into society,MIGRANTS,V1
459,We are forced to economically support all of them,"The cost of immigration from the last Economic and Financial Document, published last April and containing the consolidated figure for 2017, is estimated to have a total expenditure of about 4.4 billion euros, which represents only 0.26% of Italian GDP, and around 0.5% of public spending. In short, 99.5% of public resources are used for something else.",MIGRANTS,V1
464,Why gays do not try to heal?,Homosexuality is not a disease. It is a sexual orientation. 5% of the population simply love people of the same sex.,LGBT+,V1
466,Why don't gay people seek a cure?,"Have you ever talked to a homosexual person? It could help you understand many things, including that sexual orientation is fundamental to a person's identity, not a matter of whim or ill health.",LGBT+,V1
467,Gypsies use their children as beggars.,"Unfortunately it is true, but it happens all around the world, regardless of ethnicity: when there is poverty children must contribute to the family economy.",other,V1
468,Gypsies do not send children to school,They have every interest in sending children to school to offer them a better future.,other,V1
470,MIgrants are not running away from wars.,"The desire to improve one's condition both a right and, like the tendency to travel, both fundamental to human behaviour.",MIGRANTS,V1
488,More than half of the prisoners in our jails are foreigners,"I've never been able to find any evidence for this assertion, although it gets repeated regularly.",MIGRANTS,V1
492,These dogs come here to rape and kill our women,Femicides occur in a much greater percentage as domestic violence committed by our compatriots...,MIGRANTS,V1
498,Gypsies use children as thieves.,"There is only one legal case of a 15-year-old girl convicted of stealing, but it seem to have been a hoax by the mafia.",other,V1
501,"If you are nomads, then go somewhere else but not in my country.",In reality they are not nomads since they have resided permanently in many European countries for generations,other,V1
503,"If they are nomads, they must be nomadic","They are not nomads for culture but have moved across time to escape persecution, wars, expulsion edicts, etc.",other,V1
505,We are being invaded. They are replacing us.,A melting pot of diverse cultures is a sign of healthy human evolution.,MIGRANTS,V1
512,Only 8% is a real refugee,"The percentage you are talking about refers only to ""refugee status"" and does not include protection for those who escape from wars.",MIGRANTS,V1
514,"Only 8% is a real refugee, others are illegal.","The figure of 8% on asylum seekers is real. I understand the point, but there are different types of international protection that increase the number of those entitled.",MIGRANTS,V1
515,Gypsies like living in trailer parks.,Only a very small portion lives in the trailer parks: most of them live in conventional housing. When they live in the camps it is because they do not have the possibility to have adequate housing. In the end they find themselves living in distant industrial areas that are not well connected to services. This creates a lot of social hardship as well as denial of access to basic rights such as education and health.,other,V1
517,Gypsies are the ones who want to stay in the slums,From what I know only a minority of the Gypsy population live in shanty towns.,other,V1
519,They are nomads. They are not entitled to have a house,The Constitution actually declares the right to adequate housing.,other,V1
526,"If they are nomads, they should stay nomadic.","Not recognising people's right to live as they prefer and to improve their lifestyle, such as housing or occupations, only causes an increase in crime.",other,V1
529,Gays are just sick. It is an abomination,Do you consider it a disease like cold or flu?,LGBT+,V1
533,Gays are just sick. They cannot marry. It is an abomination,"Excuse me, what do you mean by 'sick'?",LGBT+,V1
538,Gypsies are dirty,We would be dirty too if we did not have running water.,other,V1
541,They are fine in the trailer parks.,"No parent of any ethnicity would be happy to raise their children in the trailer parks, where there is neither drinking water nor electricity!",other,V1
542,migrants rape our women.,Women should not be defended because of nationality but as human beings.,MIGRANTS,V1
552,Migrants rape our women.,The phenomenon is very complex and the data must be read carefully: most of the violence against women occurs in the home and goes unreported,MIGRANTS,V1
556,We should isolate gays because they are spreading AIDS all around the world.,"If you want to isolate someone then there is only one ""high-risk group"" to focus on. It is made of all those who have frequent unprotected sex with different partners. Being gay does not make you a part of this by default.",LGBT+,V1
557,We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,"Being gay doesn't affect blood receivers! It's not like being gay is in your blood. Gay people are the same as regular people and if they really wanted to donate, then they should because it can help society.",LGBT+,V1
558,homosexuality is a mental illness that can be cured [link],"The source is not reliable at all, as the webpage promote ""reorientation therapies"" whose effects hasn't been scientifically proven. The owners are likely to profit from misinformation and bad stereotypes about homosexuality.",LGBT+,V1
559,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.","We can simply disallow donations from those who had unprotected sex or a high number of partners, instead of making sexual orientation the basis as in your claim.",LGBT+,V1
560,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, and they lie when they want to donate blood.","There is little to no reason for them to do so; if they wish to donate blood, evidently they have a degree of care about others. Lying would contradict the very reasons they might want to donate.Homophobic statements rarely make much sense.",LGBT+,V1
561,"Gays are perverts, they are promiscuous and fornicate with strangers.",Women are much more likely to have unprotected sex than homosexual and heterosexual men combined. [https://ifstudies.org/blog/promiscuous-america-smart-secular-and-somewhat-less-happy],LGBT+,V1
562,Gays are perverts and must be isolated from society because they are practicing anal sex and spreding diseases such as HIV.,"While anal sex may be a more high risk practice than vaginal \(due to the lack of mucus\) that is not a reason to ban gay men, since other groups can also engage in anal sex.",LGBT+,V1
563,Gays are perverts and must be isolated from society because they are practicing anal sex and spreading diseases such as HIV.,"Did you know that research shows that about 10% of heterosexual women/men have had anal sex in the past year, with 25% having tried it at least once? [https://kinseyconfidential.org/common-anal-sex-heterosexual-couples/] Do you want to isolate them as well?",LGBT+,V1
564,Gays are perverts and must be cured because they are practicing anal sex all the time.,Is this true for anal sex between men and women too then?,LGBT+,V1
565,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Associating AIDS and HIV with homosexuals is just a prejudice driven by fear. Even if this disease may be more common among gay people, that does not mean that all homosexuals are likely to have AIDS. Not all homosexuals are promiscuously fornicating with strangers, as you said. Most people check their partners, more so as gay men.",LGBT+,V1
567,Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,"A ban for gay men merely propagates homophobic stereotypes, and so are you with what you are suggesting.",LGBT+,V1
568,Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,I do not understand from your argument why gay men should not be allowed to donate blood.,LGBT+,V1
571,Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.,"Did you know that women also engage in unprotected 'anal sex'? Additionally, approximately 2% of heterosexual men have admittedly had a same sex partner, and 39% of homosexual men have had sex with a partner of the opposite sex. Therefore, it cannot be ignored that heterosexual are correlatively high risk.",LGBT+,V1
572,Allowing gays to donate blood compromises patient safety because of their sexual behavior.,Many countries use a deferral window of 1 year to makes it safe for men who have sex with men to donate blood.,LGBT+,V1
573,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!,"To be honest, the potential for malice in humans is reason enough to test everyone's blood.",LGBT+,V1
574,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"Did you know that out of people receiving HIV care (for example in the UK), 48% were exposed through sex between a man and a woman, and 47% were exposed through sex between men? The fact is that heterosexual HIV transmissions outweigh those between homosexuals, and yet heterosexual people are not banned from donating blood. [link]",LGBT+,V1
580,Gays should never be allowed to donate blood: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Before donating, patients should fill-in a questionnaire where they are asked about their sexuality. If this is considered pertinent information and the patient is taken at their word about being homosexual, then equally the patient can be trusted about the declared sexual history, making sexuality irrelevant.",LGBT+,V1
582,"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases.","Any decision embarked on by a country would likely have been considered in light of evidence. As such, if no evidence was found by those countries of the harm of a policy, it can be fairly confidently asserted that we can adopt this policy in favour of homosexual's blood donation.",LGBT+,V1
583,Allowing gays to donate blood compromises patient safety because of their sexual behavior. We should stop them.,"You know what? We can also grade blood packs based on their ""risk"". This allows the optional use of high-risk blood in case of a shortage.",LGBT+,V1
584,Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,"Improvements in testing and other safeguards have reduced the risk from transfusion transmitted HIV, so ruling out donors only because of their sexual orientation is completely meaningless.",LGBT+,V1
586,Allowing gays to donate blood compromises patient safety and testing all gay donors would be too expensive.,"We already test blood from all groups, not only homosexual ones. There is no added expense than just using low risk groups.",LGBT+,V1
587,I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,"Feminism strives for equality, not for division.",WOMEN,V1
588,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.","Sometimes we must go beyond ""technical equality"" and give protections to one gender that the other simply does not need.",WOMEN,V1
591,"In the West, women have legal equality, equal rights, and are protected from discrimination: they should stop busting our balls and whining.","Just because there is less evidence of oppression does not mean there is none, and you can find many examples in the newspaper everyday.",WOMEN,V1
596,We are gutful sick of Vagina Misandrists trying to undermine male self esteem. [link],"This is a generalization: movements which promote abuse of female power over men are just examples of toxic feminism, disapproved of by most women.",WOMEN,V1
597,Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,"I'm sorry, but this is wrong. Feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost.",WOMEN,V1
598,"Women are hypocrite, they say they want equal rights for all, but then they tends to concentrate only on Females in Western democracies \(so predominately white females\). It does little to focus on the problems and inequalities of females in Middle Eastern, African and Asian countries.","That's something women are actively working on, and because of that there is what is called ""intersectional feminism"". As you can see the goal of a lot of feminists is having a movement representative of all females.",WOMEN,V1
599,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of Feminism?","Since the movement is meant to achieve equality for the oppressed female population, it is called the movement for women: FEMinism. But of course the outcome will be equality.!",WOMEN,V1
600,Women should stop whining: there are no professions barred to them in Western Society.,"Not formally, but many are still hostile or unapproachable for women, especially in STEM fields.",WOMEN,V1
601,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.","Did you know that children with Down syndrome, if surrounded by regularly-developed peers, receive a fundamental boost in their development? This ""mix"" fosters a positive learning atmosphere and increases engagement and attention in all students. This mean that children with Down syndrome would be a burden to society if isolated, not the contrary.",DISABLED,V1
602,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If you think that taking all of the kids with DS out of mainstream education will solve the problem, then you are wrong. Bullying won't go away until we refuse to tolerate it. Bullies will simply target other kids who are overweight; a different colour; or in a number of other ways considered to be different and, thus, a mark for bullying.",DISABLED,V1
604,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"People with Down Syndrome should be taught in mainstream education, because diversity is an enrichment for all.",DISABLED,V1
608,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different, ending up in unwanted discrimination.","Instead, if allowed to access mainstrean education, they would interact all the time with other children and that would cause less discrimination.",DISABLED,V1
609,"Children with Down Syndrome should be isolated, because in any case normal children would make them feel different.","This is not true: interacting with their ""normal"" peers in a social and educational framework allows them to feel wanted and included.",DISABLED,V1
610,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with education in normal schools.","There are various levels of Down syndrome. Some are suitable for education with other children in ""normal schools"".",DISABLED,V1
611,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with normal education.","Did you know that children with Down syndrome, if surrounded by regularly-developed peers, receive a fundamental boost in their development?",DISABLED,V1
612,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also need much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for the further development of children without Down syndrome.","Coeducation with regularly-developed kids is a much better investment and reduces cost, time and effort into the bargain.",DISABLED,V1
613,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.",DISABLED,V1
614,"Children with Down Syndrome should be isolated, they cannot cope with education in normal schools.","When students are able to demonstrate that they are able to learn, to segragate students will produce the worst outcime for all converned.",DISABLED,V1
615,Downies are just sick people that can't integrate into society because of their disease.,"So what's your suggestion? Isloation? The real solution is involving them in work and everyday life, since this normalizes their illness and helps the integration with other people.",DISABLED,V1
616,"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","Coeducation benefits neurotypical children as much as Down Syndrome children, as they are surrounded by positive examples of care and attention from authority figures in the knowledge that they, too, will be looked after if in need.",DISABLED,V1
617,Downy children should be isolated in special schools for their own interest.,"Accessing mainstream education offers opportunities that would otherwise never be available to people with down syndrome because they can work towards the same qualifications, without the stigma that arises from segregated education.",DISABLED,V1
618,"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people's productivity.","People with Down syndrome, when supported by colleagues receive a fundamental boost to their productivity? This ""mix"" also fosters a positive working atmosphere and increases engagement and attention in all workers.",DISABLED,V1
619,Downies in industry are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"If you think that taking all of the people with DS out of industry will solve the problems in the workplace, then you are wrong. Tensions won't go away: stressed people will simply target other workers who are overweight; or of a different gender; or in a number of other ways for which they are considered to be not productive enough.",DISABLED,V1
620,Downies may hinder the productivity of other workers. They should be isolated.,"People with down syndrome should work in normal places, because diversity is an enrichment for all.",DISABLED,V1
622,Downies don't know shit and they hinder the productivity of other workers. They should be isolated.,"People with DS develop better skills and understanding of human differences when they are allowed to interact, instead of being separated.",DISABLED,V1
624,Downies may hinder the productivity of other workers because they are not able to interact in a normal way. They should be isolated.,"There are various levels of Down syndrome. Some are suitable for working with other people in ""normal workplaces"".",DISABLED,V1
625,Downies are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"Did you know that people with Down syndrome, if surrounded by empathetic peers, receive a fundamental boost in their productivity and can easily keep the pace, even in complex jobs?",DISABLED,V1
626,Some races have lower physical and cognitive abilities therefore their life is less valuable.,How can you say that? All humans are born equally valuable.,other,V1
627,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.",On the contrary: believing that all humans are created equal is beneficial for humanity.,other,V1
628,"Some races have lower physical and cognitive abilities, and we must preserve the purity of our religion from them.",Religious sources agree that all humans are born equal. What is the religion you are talking about?,other,V1
629,Also the Bible says that some races have lower physical and cognitive abilities.,There are several Bible verses and passages that emphasize equality between people and between ancient tribes.,other,V1
630,"Some races are poor because they are inferior, also in the eye of the Lord.",The rich and poor have this in common: The Lord made them both.,other,V1
631,Some races are inferior and do not deserve Lord's love.,"All are born under sin, have sinned, and fall short of the glory of God. (Romans 3:23)",other,V1
635,"Some races have lower physical and cognitive abilities, this make our race unique.","In the sense of those traits, at the individual level, we are all equally unique , making the concept of race useless.",other,V1
636,Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"Following your reasoning, if one's value depends on one's role in society, then one has no value until they take on a role. Therefore we are all born equal (i.e. valueless).",other,V1
637,Your race determines your role and value in society. That's why some races are just pieces of human waste.,"Perceived value is not necessarily actual value, especially in the eye of someone who bases their judgment on the concept of race.",other,V1
641,Many philosophers argue that humans are not born equal especially when it comes to gender.,"Although Plato argued that women are physically weaker than men, they are equal in other respects and deserve equal opportunity.",WOMEN,V1
642,"Many philosophers argue that humans are not born equal, especially when it comes to race.",This is a so-called 'argument from authority' and thus a logical fallacy. I would like to see some real arguments to support this claim.,other,V1
644,We cannot coexist in a society with millions of strangers that disrespect our culture and other human beings.,On the contrary: living in a multicultural society encourages mutual understanding and respect for humanity.,MIGRANTS,V1
645,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate.,Different cultures have different practices for a variety of social interactions and situations. We must allow for exchanges so that the best practices can be utilized by all.,MIGRANTS,V1
646,This is an invasion: we cannot coexist with millions of strangers that do not want to integrate but to bring us back into a pretechnological era.,"On the contrary: different cultures have different perspectives and ideas about things. If we are able to share and discuss ideas, it would probably lead people to come up with new ideas and new technologies.",MIGRANTS,V1
647,This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,"When different cultures are able to co-exist, they can complement each other, foster innovation and thrive.",MIGRANTS,V1
649,This is an invasion: Millions of strangers jeopardizing our race and culture.,Differences can be mostly reconcilable with respect and boundaries. But we must want it.,MIGRANTS,V1
651,There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,Having different cultures and races is good for societies in general.,MIGRANTS,V1
654,This is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,"Most countries have diverse races in them, the key point is about integration. Think about US history, for example.",MIGRANTS,V1
655,Intolerance and violence can only increase when mass migration happens.,Intolerance and violence will never be resolved if theycannot be confronted and mutual understanding promoted.,MIGRANTS,V1
656,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,"Ethnic minorities are much safer in societies where cultural pluralism is accepted, and this is a fact [link].",MIGRANTS,V1
658,Multiculturalism is just a political degeneration that harms integration within a nation.,"In those countries that are able to accept different cultures, theose cultures became part of the national identity and a source of pride.Look at Canada for example.",MIGRANTS,V1
659,"Multiculturalism is the death of western societies, we should stop this invasion before it's too late.",Monocultural nations struggle to grow. Being open to different cultures helps the nation to expand and thrive.,MIGRANTS,V1
660,This is an invasion: we must stop immigrants because they are not accepted by our people.,"The more a country takes integration as national policy, the more the citizens accept each other: see for example [link].",MIGRANTS,V1
661,This is an invasion: we cannot coexist with millions of migrants that will destroy our economy and welfare.,Skilled migrants labour is a fundamental resource for growing businesses.,MIGRANTS,V1
662,Fat people are a burden to society because of their unhealthy and reckless choices.,"For most people, obesity is not a choice, at all.",other,V1
665,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits.","Obese people have to face stigma in all areas of life. So even if you might be genuinely concerned for their health, the vast majority of obese people are regularly confronted with prejudice and systemic disadvantages based exactly on the perception of obese people as inferior.",other,V1
666,"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits. And I think that most people share this point of view.",Unfortunately there is evidence that weight discrimination (for example in the US) is similar to gender or race discrimination. [link],other,V1
667,Societal disapproval of fatty may encourage them to take healthier habits.,Societal disapproval of obesity calls for a focus on weight and does not fit within efforts to focus on health as a way of encouraging healthy habits and lifestyle choices.,other,V1
671,Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,"Being perceived as overweight is already one of the major reasons people get bullied, and in the end it makes no difference if the bullied person loses weight.",other,V1
674,"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.","This is just a terminological nuance. Once body-shaming of obese people is normalised by your definition of ""societal disapproval"", it will be difficult to ensure that individual members of society carefully consider their exact message before treating overweight people with rudeness.",other,V1
677,Shaming Fatties is good to make them taking healthier habits.,The intent behind the shaming act does not matter to the person being shamed. They may also internalize the shame and come to believe that they are a bad person.,other,V1
678,Shaming Fatties is just for their good.,"Even if not all shaming carries negative meaning, it is difficult for individuals to distinguish between shaming that comes from a place of concern as opposed to discrimination.",other,V1
679,"Of course, we must discriminate against unhealthy behaviors not fatties!","When it comes to judgement, people constantly fail to distinguish the person from his/her behavior, and the terminology you are using is a proof.",other,V1
680,"Of course, we must discriminate unhealthy behaviors not fatties!","As your words clearly show, obesity is perceived as the outcome of poor lifestyle decisions or weak power of will. This builds bias against obese people.",other,V1
683,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,"This depends on whether you consider gender identity and sexual orientation to be factual or not; it isn't simply an 'idea' or 'belief', but a fact of life.",LGBT+,V1
685,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",Some parents may be racist and be against teaching about slavery. That doesn't mean that subjects such as this shouldn't be truthfully covered.,LGBT+,V1
687,We should refrain from imposing gender ideology on children.,An objective way of teaching gender to children is very important for the society and it is not imposing. We can present scientific and peer-reviewed sources and discuss stories of how people experience gender in terms of their personal identity.,LGBT+,V1
688,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.",LGBT+,V1
689,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,"Many points in history are also subjects of polarized debate, but they still can be, and are, taught objectively.",LGBT+,V1
690,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Learning about gender identity and sexual orientation in health classes in school could promote a more accepting environment and reduce bullying.,LGBT+,V1
692,"LGBTs just want to brainwash our children. There should be no teaching about gender identity and sexual orientation in school, and it will only lead to bullying.","On the contrary, discrimination against the LGBTQ community is [still a major problem](https://www.hrc.org/youth-report/view-and-share-statistics), and this could help to fix it.",LGBT+,V1
694,LGBTs just want to brainwash our children. Kids should not be taught about gender identity and sexual orientation in school.,"In the case of young children, having awareness and understanding of sexual orientation may help those with severe identity issues, body dysphoria, or self-esteem problems.",LGBT+,V1
698,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,"Not all families are capable of educating their children on this topic, either because of circumstances (poverty, broken home, etc.) or because of religious beliefs.",LGBT+,V1
701,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,"What if parents choose not to educate or discuss LGBT issues with their children? Where will they learn? From their peers? I agree that there are some sensitive subjects that are best addressed by parents, but this is human behavior and biology; aka science.",LGBT+,V1
703,I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,A new social concept almost always brings division but this doesn't make it unworthy of implementation. The abolition of slavery in the U.S. being the best example.,WOMEN,V1
707,"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.","Thanks to feminism, women now have a choice between either having a family, having a career, or balancing both - which can be challenging for people to manage, of course.",WOMEN,V1
708,"Equality is crap, even for woman. The more power women have, the more they depart from domestic duties , the unhappier they become.","If women are stressed about balancing family and career it is because men are still not sharing equally in the [responsibilities at home](https://www.huffingtonpost.ca/2017/09/27/women-chores-home_a_23224733/). It is not the choices that cause women stress, it is patriarchy and archaic gender roles.",WOMEN,V1
711,"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.","Donna Hylton had served her sentence, and once served most moral systems allow rights like freedom of speech to return.",WOMEN,V1
718,Fat people are a burden to society because of their unhealthy choices.,"For many people, obesity is not a choice.",other,V1
722,Fat people are a burden to society because of their unhealthy choices. We should stop unquestioningly accepting obesity.,"Society is not in any danger of 'unquestioningly' accepting obesity, and few are even asking for unquestioning acceptance. Most body positive groups would settle for obesity being seen as something that does not diminish human worth.",other,V1
727,"Fat people should be isolated from society, so we will eventually have a healthier world.","This makes fat shaming directly analogous to other forms of discrimination, like racism and sexism.",other,V1
728,"Fat people should be isolated from society, so we will eventually have an heltier world.","Prejudices against obese people operate in a similar way to racism, and your statement is a clear evidence of this.(https://www.ncbi.nlm.nih.gov/pubmed/8014833)",other,V1
729,The real problem is that fat people do not want to change.,"The narrative of 'you can choose not to be obese' is much, much more hurtful to the obese than it is helpful.",other,V1
731,What is the point in listening to Muslim women? They are all retarded.,"Baroness Warsi, Rashida Tlaib, Ilhan Omar, Malala Yousafzai- I could go on. Just because powerful and intelligent Muslim women are overlooked it does not mean that they do not exist.",MUSLIMS,V1
732,"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",This is not true. How can you say this about an entire faith? This is just hatred.,MUSLIMS,V1
733,Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,"I do not see why that would be offensive.? Please do walk your dog, it needs the exercise.",MUSLIMS,V1
734,Islam is irrational and incompatible with science.,Ever heard of Al-Khawarizmi? You have him to thank for quite a lot of mathematics and astronomy!,MUSLIMS,V1
735,Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,Why would you think it is a war? Can't we deal with it peacefully? War cannot solve problems but create chaos.,MUSLIMS,V1
736,If the Koran was published today it would be banned as hate speech.,How often have you read the Quran and thought about its teachings? Or is your knowledge based on selected highlights? We all know there are exerts like that in the Bible too.,MUSLIMS,V1
737,Another rapist from Pakistan. We should deport them all back to their disgusting country.,What have 'all' Pakistani people done to deserve deportation? Sweeping generalisations like this are divisive and fuel false fearmongering around migrants.,MUSLIMS,V1
738,"All Muslims should be deported, no one wants them here.",You are clearly not speaking on behalf of me.,MUSLIMS,V1
739,Muslims have no place in civilised Europe.,Provide positive news stories about the Muslim community and promote a better understanding.,MUSLIMS,V1
741,We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,"No one is stopping you from celebrating Easter, nor are they offended by it.",MUSLIMS,V1
742,We cannot even celebrate Christmas in our own country for fear of offending Muslims.,Show me evidence of this?,MUSLIMS,V1
743,All Muslims are incompatible with any Western society.,"Muslims have been part of Western society for centuries and centuries, they helped shape and design Western society, so to say they are incompatible is a complete incongruity.",MUSLIMS,V1
744,We have been at war with Islam for a thousand years.,"Do you know there are Muslims in British Army? [link to Muslim people currently in British Army, quotes from them about why].",MUSLIMS,V1
745,Muslim invasion is the new plague of London. They must be repatriated to their home countries!,Invasion? Don't you think this expression is slightly over dramatic? People simply want to live in one of the best cities in the world!,MUSLIMS,V1
746,Uk is being islamized very fast. British government submits to every whim of Islam.,Are you suggesting that the 'Prevent' programme is about appeasement to Islam?,MUSLIMS,V1
747,"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",Islam is that same sisterhood of tolerance and understanding across the world.,MUSLIMS,V1
748,It is one law for Muslims and another law for us.,"If Muslims are treated any differently by the law, they're treated worse (link to article about stop and search and police targeting of Muslims).",MUSLIMS,V1
751,"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.","Such over-simplifications are an insult to those victims of perpetrators from non-Muslim backgrounds.which, statistically, are still the majority.",MUSLIMS,V1
